teamCode,Team,8ft,16ft,mid,three,win,year
ATL,Atlanta Hawks,41.89,12.28,15.05,30.56,0.524390244,2016
BRK,Brooklyn Nets,44.65,11.31,6.97,36.74,0.243902439,2016
BOS,Boston Celtics,40.14,9.61,11.16,38.75,0.646341463,2016
CHA,Charlotte Hornets,37.91,13.44,15.17,33.23,0.43902439,2016
CHI,Chicago Bulls,41.01,15.48,17.89,25.46,0.5,2016
CLE,Cleveland Cavaliers,36.98,11.69,11.47,39.7,0.62195122,2016
DAL,Dallas Mavericks,30.08,14.35,18.93,36.35,0.402439024,2016
DEN,Denver Nuggets,46.11,10.26,10.81,32.53,0.487804878,2016
DET,Detroit Pistons,39.32,18.72,15.71,25.83,0.451219512,2016
GSW,Golden State Warriors,37.96,13.26,12.93,35.39,0.817073171,2016
HOU,Houston Rockets,42.45,6.3,5.06,45.96,0.670731707,2016
IND,Indiana Pacers,39.29,14.14,19.49,26.77,0.512195122,2016
LAC,Los Angeles Clippers,37.69,10.01,19.71,32.31,0.62195122,2016
LAL,Los Angeles Lakers,44.8,14.24,11.78,28.92,0.317073171,2016
MEM,Memphis Grizzlies,41.94,12.02,14.43,31.1,0.524390244,2016
MIA,Miami Heat,41.49,14.03,13.09,31.15,0.5,2016
MIL,Milwaukee Bucks,49.42,10.94,10.78,28.67,0.512195122,2016
MIN,Minnesota Timberwolves,43.55,12.96,18.6,24.7,0.37804878,2016
NOP,New Orleans Pelicans,41.36,12.93,14.96,30.57,0.414634146,2016
NYK,New York Knicks,38.93,16.05,17.2,27.5,0.37804878,2016
OKC,Oklahoma City Thunder,46.33,13.26,10.85,29.3,0.573170732,2016
ORL,Orlando Magic,38.65,15.65,15.74,29.59,0.353658537,2016
PHI,Philadelphia 76ers,43.24,11.97,9.97,34.72,0.341463415,2016
PHO,Phoenix Suns,41.89,16.07,16.54,25.2,0.292682927,2016
POR,Portland Trailblazers,40.67,12.38,14.79,31.9,0.5,2016
SAC,Sacramento Kings,41.86,13.56,15.54,28.73,0.390243902,2016
SAS,San Antonio Spurs,37.02,15.93,19.01,27.85,0.743902439,2016
TOR,Toronto Raptors,40.37,15.55,15.26,28.63,0.62195122,2016
UTA,Utah Jazz,40.95,14.53,11.81,32.48,0.62195122,2016
WSH,Washington Wizards,40.15,14.57,16.9,28.21,0.597560976,2016
